Index,Name,Number Tokens,Total Words,Total Kanji,Kanji 10+,Kanji 5+,Kanji 2+
14388,日航機墜落 ―１２３便、捜索の真相,46218,5813,1659,758,985,1340
14389,日航機遺体収容 ―１２３便、事故処理の真相 日航機墜落,41736,5581,1680,754,982,1364
14390,日蝕の断層 (角川文庫),56794,7440,2093,914,1262,1757
14391,日記,15642,2531,1205,332,527,886
14392,日野富子、足利義政 と応仁の乱_ 室町時代、女流政治家の光と闇,14410,3826,1525,390,655,1137
14393,日陰の花嫁は軍神皇帝に囲い込まれて咲き誇る (蜜猫文庫),36461,4853,1758,625,948,1392
14394,日陰者の王女ですが皇帝陛下に略奪溺愛されてます (蜜猫文庫),37131,4201,1605,620,907,1315
14395,日露戦争,11181,2649,1169,349,570,878
14396,日露戦争の人物がよくわかる本,33199,6132,1787,729,1047,1429
14397,日露戦争・あの人の「その後」,38134,6666,1852,788,1098,1498
14398,旦那さまの溺愛日和　桃色新婚生活～旦那さまからは逃げられない～特別番外編～【電子限定版】 (ヴァニラ文庫),754,417,338,4,36,123
14399,旦那さまの異常な愛情 (ソーニャ文庫),35172,3876,1540,577,846,1217
14400,旦那様、甘く甘く囁いて (夢中文庫プランセ),9074,2026,1057,212,400,742
14401,旦那様に愛されすぎて困ってます (夢中文庫クリスタル),15226,2695,1248,332,555,926
14402,旦那様は、イジワル御曹司～華麗なる政略結婚！～ (マカロン文庫),24939,4288,1555,527,802,1219
14403,旦那様はボディガード　偽装結婚したら、本気の恋に落ちました (蜜夢文庫),39788,6037,1808,728,1040,1450
14404,早坂家の三姉妹　brother sun (徳間文庫),33944,3750,1456,502,738,1129
14405,早春の香り_ 初夏の香りシリーズ７,23009,3700,1464,465,686,1143
14406,早春物語 (角川文庫),25971,3459,1348,437,676,1038
14407,早春賦 (角川文庫),53355,6508,2119,834,1228,1718
14408,早朝ブラックパーカー団！20分小説シリーズ (黒熊文芸文庫),7040,1752,916,148,301,604
14409,早期退職 (角川文庫),38086,5817,1770,644,945,1397
14410,旭川･大雪　白い殺人者 私立探偵・小仏太郎,39099,4822,1673,655,923,1327
14411,旭日 影の艦隊 (歴史群像新書),39054,5864,1848,741,1015,1478
14412,旭日 影の艦隊 ガ島救出作戦 (歴史群像新書),39190,6041,1887,733,1036,1499
14413,旭日 電撃作戦 荒鷲の翼 (歴史群像新書),43097,6340,1905,779,1082,1528
14414,旭日のＧＰ（上）,42285,5950,1775,725,1026,1430
14415,旭日のＧＰ（下）,42595,5693,1704,697,986,1384
14416,旭日旗、征く！ （10） (歴史群像新書),44340,7504,1888,804,1126,1552
14417,旭日旗、征く！ （11） (歴史群像新書),43439,6881,1820,796,1074,1484
14418,旭日旗、征く！ （12） (歴史群像新書),52911,7788,1892,868,1133,1576
14419,旭日旗、征く！ （1） (歴史群像新書),48240,7780,1968,860,1152,1610
14420,旭日旗、征く！ （2） (歴史群像新書),40803,6824,1861,756,1051,1498
14421,旭日旗、征く！ （3） (歴史群像新書),39951,7063,1872,785,1081,1555
14422,旭日旗、征く！ （4） (歴史群像新書),42485,6887,1847,769,1067,1480
14423,旭日旗、征く！ （5） (歴史群像新書),43517,7085,1882,801,1099,1522
14424,旭日旗、征く！ （6） (歴史群像新書),46318,7566,1905,852,1151,1561
14425,旭日旗、征く！ （7） (歴史群像新書),46900,6827,1831,812,1074,1473
14426,旭日旗、征く！ （8） (歴史群像新書),45198,7433,1900,820,1093,1550
14427,旭日旗、征く！ （9） (歴史群像新書),46010,7309,1860,830,1108,1505
14428,昆虫少年 告白メロン (冊鹿文庫),626,333,266,9,41,136
14429,明かせぬ正体～乞食に堕とされた最強の糸使い～（サーガフォレスト）,49659,6089,1896,812,1122,1557
14430,明け方まで愛して～溺愛彼氏のベッド事情～ (夢中文庫クリスタル),11560,2100,1063,247,414,750
14431,明と暗のノモンハン戦史,67521,8101,1880,935,1187,1569
14432,明るいニヒリズム,23893,3175,1358,442,658,1004
14433,明恵上人 静かで透明な生き方,28742,5967,1943,624,953,1508
14434,明日、今日の君に逢えなくても (MF文庫J),38591,4257,1559,609,856,1231
14435,明日から人生が好転する５０の方法_ 心理学や脳科学、ＮＬＰを丸ごと良い所取り！恋愛・仕事・お金・人脈・時間,26835,2770,1167,465,662,930
14436,明日から俺らがやってきた (電撃文庫),36647,4492,1547,592,844,1222
14437,明日から俺らがやってきた2 (電撃文庫),37067,4144,1446,559,802,1146
14438,明日から本気出す人たち (メディアワークス文庫),33567,4812,1592,603,878,1275
